student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct
600f1ce215f61a6ba3ac1301	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
600f1ce215f61a6ba3ac1301	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
600f1ce215f61a6ba3ac1301	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
600f1ce215f61a6ba3ac1301	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
600f1ce215f61a6ba3ac1301	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
600f1ce215f61a6ba3ac1301	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
600f1ce215f61a6ba3ac1301	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
600f1ce215f61a6ba3ac1301	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
600f1ce215f61a6ba3ac1301	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6012d3d4e16a3a3762da9beb	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6012d3d4e16a3a3762da9beb	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6012d3d4e16a3a3762da9beb	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
6012d3d4e16a3a3762da9beb	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6012d3d4e16a3a3762da9beb	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6012d3d4e16a3a3762da9beb	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6012d3d4e16a3a3762da9beb	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6012d3d4e16a3a3762da9beb	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
6012d3d4e16a3a3762da9beb	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6012d3d4e16a3a3762da9beb	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6012d3d4e16a3a3762da9beb	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
6012d3d4e16a3a3762da9beb	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6012d3d4e16a3a3762da9beb	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6012d3d4e16a3a3762da9beb	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	0
601209be15f61a6ba16ac48c	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
601209be15f61a6ba16ac48c	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
601209be15f61a6ba16ac48c	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	0
601209be15f61a6ba16ac48c	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
601209be15f61a6ba16ac48c	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	1
601209be15f61a6ba16ac48c	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
601209be15f61a6ba16ac48c	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
601209be15f61a6ba16ac48c	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
601209be15f61a6ba16ac48c	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
601209be15f61a6ba16ac48c	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
601209be15f61a6ba16ac48c	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
601209be15f61a6ba16ac48c	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
601209be15f61a6ba16ac48c	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
601209be15f61a6ba16ac48c	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6014aaf51e99fb3e93012d40	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6014aaf51e99fb3e93012d40	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6014aaf51e99fb3e93012d40	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	0
6014aaf51e99fb3e93012d40	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6014aaf51e99fb3e93012d40	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	0
6014aaf51e99fb3e93012d40	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	0
6014aaf51e99fb3e93012d40	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
6014aaf51e99fb3e93012d40	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6014aaf51e99fb3e93012d40	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6014aaf51e99fb3e93012d40	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6014aaf51e99fb3e93012d40	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	0
6014aaf51e99fb3e93012d40	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6014aaf51e99fb3e93012d40	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6014aaf51e99fb3e93012d40	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6014aaf51e99fb3e93012d40	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	0
6014aaf51e99fb3e93012d40	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6014aaf51e99fb3e93012d40	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6014aaf51e99fb3e93012d40	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6014aaf51e99fb3e93012d40	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6014aaf51e99fb3e93012d40	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6014aaf51e99fb3e93012d40	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
6014aaf51e99fb3e93012d40	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6014aaf51e99fb3e93012d40	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6014aaf51e99fb3e93012d40	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	0
601884d01e99fb0ee6393a54	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
601884d01e99fb0ee6393a54	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	0
601884d01e99fb0ee6393a54	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
601884d01e99fb0ee6393a54	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
601884d01e99fb0ee6393a54	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
601884d01e99fb0ee6393a54	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
601884d01e99fb0ee6393a54	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
601884d01e99fb0ee6393a54	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
601884d01e99fb0ee6393a54	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
601884d01e99fb0ee6393a54	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
601884d01e99fb0ee6393a54	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
601884d01e99fb0ee6393a54	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	0
601884d01e99fb0ee6393a54	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	0
601884d01e99fb0ee6393a54	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	0
601884d01e99fb0ee6393a54	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
601884d01e99fb0ee6393a54	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	0
601884d01e99fb0ee6393a54	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	0
601884d01e99fb0ee6393a54	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
601884d01e99fb0ee6393a54	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	0
601884d01e99fb0ee6393a54	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
601884d01e99fb0ee6393a54	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
601884d01e99fb0ee6393a54	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
601884d01e99fb0ee6393a54	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
601884d01e99fb0ee6393a54	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	0
601884d01e99fb0ee6393a54	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
601308fd00000973eded19df	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
601308fd00000973eded19df	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	0
601308fd00000973eded19df	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
601308fd00000973eded19df	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	0
60189d8715f61a164ac2c206	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
60189d8715f61a164ac2c206	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
60189d8715f61a164ac2c206	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
60189d8715f61a164ac2c206	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
60189d8715f61a164ac2c206	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
60189d8715f61a164ac2c206	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
60189d8715f61a164ac2c206	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
60189d8715f61a164ac2c206	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
60189d8715f61a164ac2c206	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	0
60189d8715f61a164ac2c206	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
60189d8715f61a164ac2c206	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
60189d8715f61a164ac2c206	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
60189d8715f61a164ac2c206	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
60189d8715f61a164ac2c206	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
60189d8715f61a164ac2c206	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
60189d8715f61a164ac2c206	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
60189d8715f61a164ac2c206	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
60189d8715f61a164ac2c206	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
60189d8715f61a164ac2c206	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
60189d8715f61a164ac2c206	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	0
6010a10600b3a44353b4ae40	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6010a10600b3a44353b4ae40	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6010a10600b3a44353b4ae40	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6010a10600b3a44353b4ae40	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6010a10600b3a44353b4ae40	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6010a10600b3a44353b4ae40	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6010a10600b3a44353b4ae40	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
6010a10600b3a44353b4ae40	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6010a10600b3a44353b4ae40	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6010a10600b3a44353b4ae40	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6010a10600b3a44353b4ae40	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6010a10600b3a44353b4ae40	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6010a10600b3a44353b4ae40	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6010a10600b3a44353b4ae40	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6010a10600b3a44353b4ae40	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
6010a10600b3a44353b4ae40	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6010a10600b3a44353b4ae40	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6010a10600b3a44353b4ae40	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6010a10600b3a44353b4ae40	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6010a10600b3a44353b4ae40	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6010a10600b3a44353b4ae40	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6010a10600b3a44353b4ae40	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
6010a10600b3a44353b4ae40	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6010a10600b3a44353b4ae40	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6010a10600b3a44353b4ae40	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
601959120000095f04b68e0f	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
601959120000095f04b68e0f	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
601959120000095f04b68e0f	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
601959120000095f04b68e0f	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
601959120000095f04b68e0f	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	0
601959120000095f04b68e0f	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	0
601959120000095f04b68e0f	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
601959120000095f04b68e0f	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
601959120000095f04b68e0f	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
601959120000095f04b68e0f	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
601959120000095f04b68e0f	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
601959120000095f04b68e0f	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
601959120000095f04b68e0f	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
601959120000095f04b68e0f	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
601959120000095f04b68e0f	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
601959120000095f04b68e0f	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
601959120000095f04b68e0f	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
601959120000095f04b68e0f	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
601959120000095f04b68e0f	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
601959120000095f04b68e0f	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
601959120000095f04b68e0f	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
601959120000095f04b68e0f	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
601959120000095f04b68e0f	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
601959120000095f04b68e0f	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	0
601959120000095f04b68e0f	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	0
6019740c1e99fb0ee392ae2e	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6019740c1e99fb0ee392ae2e	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	0
6019740c1e99fb0ee392ae2e	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6019740c1e99fb0ee392ae2e	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6019740c1e99fb0ee392ae2e	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6019740c1e99fb0ee392ae2e	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	0
6019740c1e99fb0ee392ae2e	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
6019740c1e99fb0ee392ae2e	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6019740c1e99fb0ee392ae2e	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
6019740c1e99fb0ee392ae2e	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
6019740c1e99fb0ee392ae2e	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6019740c1e99fb0ee392ae2e	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6019740c1e99fb0ee392ae2e	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6019740c1e99fb0ee392ae2e	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6019740c1e99fb0ee392ae2e	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
6019740c1e99fb0ee392ae2e	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6019740c1e99fb0ee392ae2e	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	0
6019740c1e99fb0ee392ae2e	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6019740c1e99fb0ee392ae2e	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6019740c1e99fb0ee392ae2e	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6019740c1e99fb0ee392ae2e	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6019740c1e99fb0ee392ae2e	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
6019740c1e99fb0ee392ae2e	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6019740c1e99fb0ee392ae2e	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6019740c1e99fb0ee392ae2e	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	0
6011a7ac15f61a6ba3afc3a7	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
6011a7ac15f61a6ba3afc3a7	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6011a7ac15f61a6ba3afc3a7	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
6011a7ac15f61a6ba3afc3a7	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6011a7ac15f61a6ba3afc3a7	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	0
